day,sadness_50th,sadness_25th,sadness_75th,joy_50th,joy_25th,joy_75th,fear_50th,fear_25th,fear_75th,disgust_50th,disgust_25th,disgust_75th,anger_50th,anger_25th,anger_75th
1,0.264867,0.155347,0.4169655,0.108382,0.036625500000000005,0.290961,0.0820375,0.0438665,0.148187,0.25686,0.1241845,0.43321699999999996,0.158789,0.084506,0.3070295
2,0.24561100000000002,0.14014025,0.40757525,0.12910850000000001,0.0398315,0.33438675,0.07852500000000001,0.04042275,0.14414749999999998,0.221079,0.11025599999999999,0.388377,0.16522199999999998,0.09254275,0.31735975
3,0.237137,0.13462174999999998,0.39209025000000003,0.14475949999999999,0.0459195,0.3685125,0.0719785,0.037551,0.12969975,0.1978256,0.09884675000000001,0.35213,0.14989049999999998,0.08458575,0.288841
4,0.2713665,0.160561,0.42711258333333335,0.10838111363636364,0.036243500000000005,0.2830555,0.0806185,0.043374,0.14145175,0.2168265,0.1125115,0.37221800000000005,0.178525,0.09801375,0.3302985
5,0.2790925,0.16382449999999998,0.43807425,0.1011495,0.033741,0.26367775,0.0819395,0.045006000000000004,0.14503375,0.2234715,0.117394,0.38461475,0.1919785,0.1034905,0.34480449999999996
6,0.2764815,0.1612815,0.43655900000000003,0.111512,0.037081,0.28665025,0.0806265,0.04239525,0.139369,0.2128195,0.108971,0.36579700000000004,0.18022775,0.09972525,0.32643075
7,0.2958705,0.1717735,0.46427799999999997,0.11774,0.037192750000000004,0.28439925,0.0807255,0.04330425,0.145549,0.23401450000000001,0.11624875,0.3946485,0.18699900000000003,0.10456299999999999,0.33131299999999997
9,0.284918,0.170124,0.43349,0.117484,0.040922,0.279209,0.08261241666666667,0.042902,0.14137873913043478,0.252567,0.135842,0.413775,0.175162,0.091583,0.3098836086956522
10,0.281839,0.163272,0.44670350000000003,0.100128,0.0330725,0.2711335,0.08731,0.0476375,0.148155,0.210977,0.113099,0.37031000000000003,0.195011,0.1062345,0.345394
11,0.285229,0.164452,0.448106,0.104185,0.032756,0.282396,0.082963,0.044643,0.142144,0.213797,0.110981,0.369813,0.193473,0.102408,0.345897
12,0.283158,0.15987800000000002,0.462029,0.101234,0.032727,0.28143,0.083025,0.045548,0.1397155,0.215461,0.110795,0.3674245,0.188637,0.10310949999999999,0.33806349999999996
13,0.2739745,0.1562905,0.4484895,0.1075315,0.0359835,0.28658875,0.08467350000000001,0.04548275,0.14616525,0.210038,0.1088285,0.36081475,0.1879425,0.10220875,0.33760575000000004
14,0.27463899999999997,0.15447775,0.45253,0.10875599999999999,0.033977,0.297664,0.0808015,0.0437545,0.13627725000000002,0.21622550000000001,0.11208024999999999,0.38180975,0.184613,0.1004315,0.331064
15,0.259608,0.129292,0.460647,0.129319,0.038728,0.31928,0.073374,0.037057,0.135446,0.177106,0.113909,0.342985,0.165618,0.087468,0.333259
